Keyword,Trend-Wachstum
eu,108.0
emissionshandel,42.0
ets,34.0
co2,17.0
emissionshandelssystem,14.0
emissionshandels,9.0
system,9.0
europäischen,6.0
dec,6.0
seeverkehr,5.0
trading,5.0
zertifikate,4.0
1,4.0
emissionen,4.0
luft,4.0
apr,4.0
emissions,3.0
ziel,3.0
oct,3.0
schiffe,3.0
mar,3.0
einigung,3.0
schiffsverkehr,3.0
emissionshandelssystems,3.0
feb,3.0
jahr,2.0
sep,2.0
januar,2.0
union,2.0
handel,2.0
european,2.0
jan,2.0
kommission,2.0
einbeziehung,2.0
gebäude,2.0
verkehr,2.0
industrie,2.0
nov,2.0
parlament,2.0
seeschifffahrt,2.0
klimaschutz,2.0
