Keyword,Trend-Wachstum
germany,30.0
waterways,26.0
water,10.0
goods,9.0
transportation,7.0
river,6.0
eu,5.0
vessels,4.0
netherlands,4.0
freight,4.0
ports,4.0
information,4.0
system,3.0
container,3.0
iwt,3.0
rail,3.0
volume,3.0
navigation,3.0
world,3.0
program,3.0
countries,3.0
traffic,3.0
conditions,3.0
teaching,3.0
materials,3.0
maritime,3.0
european,2.5
total,2.0
europe,2.0
low,2.0
logistics,2.0
impact,2.0
rhine,2.0
new,2.0
network,2.0
infrastructure,2.0
project,2.0
