Keyword,Trend-Wachstum
sea,15.0
marine,14.0
march,13.0
mar,12.0
summit,10.0
event,10.0
meeting,9.0
global,7.0
european,6.0
committee,6.0
cma,5.0
may,5.0
events,5.0
plan,5.0
ocean,5.0
ship,5.0
forum,5.0
future,4.0
action,4.0
days,4.0
black,4.0
feb,4.0
year,4.0
new,4.0
annual,4.0
germany,3.0
policy,3.0
sustainable,3.0
shipping,3.0
u.s.,3.0
common,3.0
registration,3.0
level,3.0
february,3.0
january,3.0
report,3.0
high,3.0
industry,2.5
world,2.0
protection,2.0
conference,2.0
key,2.0
blue,2.0
it,2.0
international,2.0
date,2.0
point,2.0
fisheries,2.0
states,2.0
