Keyword,Trend-Wachstum
energy,83.0
transition,13.0
sea,10.0
renewable,9.0
shipping,9.0
green,8.0
market,8.0
fuel,7.0
offshore,7.0
marine,6.5
clean,6.0
transport,6.0
wind,5.0
fuels,5.0
system,5.0
new,4.0
power,4.0
agora,4.0
outlook,3.0
report,3.0
electricity,3.0
methanol,3.0
global,3.0
industry,3.0
german,3.0
ammonia,3.0
carbon,3.0
storage,3.0
north,2.5
security,2.0
partnership,2.0
european,2.0
decarbonisation,2.0
project,2.0
hydrogen,2.0
innovation,2.0
production,2.0
transformation,2.0
europe,2.0
oct,2.0
