Keyword,Trend-Wachstum
emission,38.0
emissions,26.0
zero,24.0
schiffe,20.0
low,13.0
carbon,12.0
energy,10.0
maritime,9.0
shipping,7.0
fuel,7.0
marine,7.0
services,6.0
future,5.0
ship,5.0
flotte,5.0
state,4.0
co2,4.0
fuels,4.0
eu,4.0
port,3.5
vessels,3.0
gas,3.0
sustainable,3.0
electric,3.0
power,3.0
project,3.0
news,3.0
propulsion,3.0
binnenschiffe,2.0
zes,2.0
ultra,2.0
jan,2.0
de,2.0
vessel,2.0
greenhouse,2.0
more,2.0
industry,2.0
imo,2.0
schiff,2.0
class,2.0
kreuzfahrtschiff,2.0
hafen,2.0
sea,2.0
european,2.0
green,2.0
